item[id],attached_item[item_id],attached_item[type]
v6_demo_plan,v6_recruiting_m_startup,optional
v6_demo_plan,v6_whistleblowing,optional
v6_demo_plan,v6_recruiting_m,optional
v6_demo_plan,v6_conversations_lite_trial,optional
v6_demo_plan,v6-1_recruiting_m,optional
v6_demo_plan,v6_employee_performance_development_ta,optional
v6_demo_plan,v6_recruiting_m_nonprofit,optional
v6_demo_plan,v6_recruiting_l,optional
v6_demo_plan,v6_datev_lug_integration_startup,optional
v6_demo_plan,v6-1_recruiting_l,optional
v6_demo_plan,v6_compensation_management_trial,optional
v6_demo_plan,v6_3_conversations_standard,optional
v6_demo_plan,v6_conversations_nonprofit,optional
v6_demo_plan,v6_employee_performance_development_startup,optional
v6_demo_plan,v6_employee_performance_development,optional
v6_demo_plan,v6-1_employee_performance_and_development,optional
v6_demo_plan,v6_recruiting_l_trial,optional
v6_demo_plan,v6_datev_lug_integration_ta,optional
v6_demo_plan,v6_conversations_startup,optional
v6_demo_plan,v6_conversations_lite,optional
v6_demo_plan,v6_1_datev_integration,optional
v6_demo_plan,v6_whistleblowing_trial,optional
v6_demo_plan,v6_surveys,optional
v6_demo_plan,v6.1_employee_performance_development,optional
v6_demo_plan,v6_datev_lodas_integration_ta,optional
v6_demo_plan,v6_conversations_lite_startup,optional
v6_demo_plan,v6_compensation_management,optional
v6_demo_plan,v6_surveys_nonprofit,optional
v6_demo_plan,v6_recruiting_m_trial,optional
v6_demo_plan,v6_recruiting_s_ta,optional
v6_demo_plan,v6_datev_lodas_integration_nonprofit,optional
v6_demo_plan,v6_datev_lodas_integration,optional
v6_demo_plan,v6_compensation_management_startup,optional
v6_demo_plan,v6_surveys_ta,optional
v6_demo_plan,v6_2_whistleblower,optional
v6_demo_plan,v6_recruiting_s_trial,optional
v6_demo_plan,v6_recruiting_m_ta,optional
v6_demo_plan,v6_datev_lug_integration_nonprofit,optional
v6_demo_plan,v6_datev_lug_integration,optional
v6_demo_plan,v6_2_conversations_lite,optional
v6_demo_plan,v6_conversations,optional
v6_demo_plan,v6-1_app_whistleblower,optional
v6_demo_plan,v6_1_conversations_standard,optional
v5_startup_1400,v5_datev_integration_enterprise_addon,optional
v5_startup_1400,v5.2_datev_lodas_integration_startup,optional
v5_startup_1400,v5.2_datev_lug_integration_startup,optional
v5_startup_1400,v5.2_productivity_plus_startup,optional
v5_startup_1400,v5.2_customization_plus_startup,optional
v5_startup_1400,v5.2_automation_plus_startup,optional
v5_startup_1400,v5_datev_lodas_integration_startup,optional
v5_startup_1400,v5_datev_lug_integration_startup,optional
v5_startup_1400,v5_employee_performance_development_,optional
v5_startup_1400,v5_productivity_plus_startup,optional
v5_startup_1400,v5_customization_plus_startup,optional
v5_startup_1400,v5_automation_plus_startup,optional
v5_startup_1400,v5.1_premium_support,optional
v5_startup_1400,v5_premium_support_addon,optional
v5_startup_1400,v5_compensation_management,optional
v5_startup_1400,v5.0_whistleblowing_startup,optional
v5_startup_1400,v5_recruiting_l_trial,optional
v5_startup_1400,v5_surveys_trial,optional
v5_startup_1400,v5_whistleblowing_nonprofit,optional
v5_startup_1400,v5_recruiting_m_trial,optional
v5_startup_1400,v5.0_whistleblowing_nonprofit,optional
v5_startup_1400,v5_compensation_management_trial,optional
v5_startup_1400,v5_whistleblowing_startup,optional
v5_startup_1400,v5_recruiting_m_enterprise,optional
v5_startup_1400,v5_datev_lug_integration_enterprise,optional
v5_startup_1400,v5_recruiting_s_startup_addon,optional
v5_startup_1400,v5.3_employee_performance_development,optional
v5_startup_1400,v5_recruiting_l_nonprofit_addon,optional
v5_startup_1400,v5_datev_lug_integration,optional
v5_startup_1400,v5.0_whistleblowing,optional
v5_startup_1400,v5.2_recruiting_l,optional
v5_startup_1400,v5_compensation_management_nonprofit,optional
v5_startup_1400,v5.3_customization_plus_nonprofit,optional
v5_startup_1400,v5_conversations_standard_nonprofit,optional
